UT,AU
WOS:000988607500001,"Guarnieri, E; Tur-Prats, A"
WOS:000868979600001,"Smith, M; Zidar, O; Zwick, E"
WOS:000813226900001,"Cai, J; Wang, SY"
WOS:000784752700001,"Adao, R; Carrillo, P; Costinot, A; Donaldson, D; Pomeranz, D"
WOS:000642334600003,"Gopinath, G; Stein, JC"
WOS:000612198000011,"Kim, R"
WOS:000489163400003,"Allcott, H; Diamond, R; Dubé, JP; Handbury, J; Rahkovsky, I; Schnell, M"
WOS:000489161300005,"Chodorow-Reich, G; Coglianese, J; Karabarbounis, L"
WOS:000435871300001,"Piketty, T; Saez, E; Zucman, G"
WOS:000423802600008,"Alsan, M; Wanamaker, M"
WOS:000412764300005,"Mian, A; Sufi, A; Verner, E"
WOS:000406177000010,"Polborn, MK; Snyder, JM"
WOS:000383326100010,"Barrot, JN; Sauvagnat, J"
WOS:000383326100004,"Spiegler, R"
WOS:000359638900007,"Bursztyn, L; Jensen, R"
WOS:000359638900008,"Gabaix, X; Maggiori, M"
WOS:000354733000001,"Michaillat, P; Saez, E"
WOS:000346660500004,"Dahl, GB; Kostol, AR; Mogstad, M"
WOS:000999692200001,"Beraja, M; Kao, AD; Yang, DY; Yuchtman, N"
WOS:000986383900001,"Korting, C; Lieberman, C; Matsudaira, J; Pei, Z; Shen, Y"
WOS:000743312400004,"Frydman, C; Jin, LJ"
WOS:000728439200002,"Lowes, S; Montero, E"
WOS:000612198000006,"Bryan, G; Choi, JJ; Karlan, D"
WOS:000612198000008,"Cameron, L; Seager, J; Shah, M"
WOS:000612198000005,"Lian, C; Ma, YR"
WOS:000507362800004,"Coibion, O; Gorodnichenko, Y; Ropele, T"
WOS:000489163400007,"DellaVigna, S; Gentzkow, M"
WOS:000451281400006,"Nakamura, E; Steinsson, J; Sun, P; Villar, D"
WOS:000423802600006,"Farhi, E; Maggiori, M"
WOS:000359638900002,"Augenblick, N; Niederle, M; Sprenger, C"
WOS:000359638900006,"Edelman, B; Wright, J"
WOS:000354733000006,"Aizer, A; Doyle, JJ"
WOS:000346660500006,"Autor, DH; Dorn, D; Hanson, GH; Song, J"
WOS:000346660500008,"Hjort, J"
WOS:000330451700007,"Kline, P; Moretti, E"
WOS:000642334600011,"Rose, EK"
WOS:000544015700001,"De Loecker, J; Eeckhout, J; Unger, G"
WOS:000451281400010,"Shi, SY; Delacroix, A"
WOS:000412764300002,"Deming, DJ"
WOS:000412764300006,"Drechsler, I; Savov, A; Schnabl, P"
WOS:000412764300010,"Larcom, S; Rauch, F; Willems, T"
WOS:000401981500008,"Cravino, J; Levchenko, AA"
WOS:000388576700008,"Belloc, M; Drago, F; Galbiati, R"
